i,a1,a2,a3,a4,a5,Ai,Bi,Ci,Di
1,0,0,0,0,1,-171996,-174.2,92025,8.9
2,0,0,0,0,2,2062,0.2,-895,0.5
3,-2,0,2,0,1,46,0,-24,0
4,2,0,-2,0,0,11,0,0,0
5,-2,0,2,0,2,-3,0,1,0
6,1,-1,0,-1,0,-3,0,0,0
7,0,-2,2,-2,1,-2,0,1,0
8,2,0,-2,0,1,1,0,0,0
9,0,0,2,-2,2,-13187,-1.6,5736,-3.1
10,0,1,0,0,0,1426,-3.4,54,-0.1
11,0,1,2,-2,2,-517,1.2,224,-0.6
12,0,-1,2,-2,2,217,-0.5,-95,0.3
13,0,0,2,-2,1,129,0.1,-70,0
14,2,0,0,-2,0,48,0,1,0
15,0,0,2,-2,0,-22,0,0,0
16,0,2,0,0,0,17,-0.1,0,0
17,0,1,0,0,1,-15,0,9,0
18,0,2,2,-2,2,-16,0.1,7,0
19,0,-1,0,0,1,-12,0,6,0
20,-2,0,0,2,1,-6,0,3,0
21,0,-1,2,-2,1,-5,0,3,0
22,2,0,0,-2,1,4,0,-2,0
23,0,1,2,-2,1,4,0,-2,0
24,1,0,0,-1,0,-4,0,0,0
25,2,1,0,-2,0,1,0,0,0
26,0,0,-2,2,1,1,0,0,0
27,0,1,-2,2,0,-1,0,0,0
28,0,1,0,0,2,1,0,0,0
29,-1,0,0,1,1,1,0,0,0
30,0,1,2,-2,0,-1,0,0,0
31,0,0,2,0,2,-2274,-0.2,977,-0.5
32,1,0,0,0,0,712,0.1,-7,0
33,0,0,2,0,1,-386,-0.4,200,0
34,1,0,2,0,2,-301,0,129,-0.1
35,1,0,0,-2,0,-158,0,-1,0
36,-1,0,2,0,2,123,0,-53,0
37,0,0,0,2,0,63,0,-2,0
38,1,0,0,0,1,63,0.1,-33,0
39,-1,0,0,0,1,-58,-0.1,32,0
40,-1,0,2,2,2,-59,0,26,0
41,1,0,2,0,1,-51,0,27,0
42,0,0,2,2,2,-38,0,16,0
43,2,0,0,0,0,29,0,-1,0
44,1,0,2,-2,2,29,0,-12,0
45,2,0,2,0,2,-31,0,13,0
46,0,0,2,0,0,26,0,-1,0
47,-1,0,2,0,1,21,0,-10,0
48,-1,0,0,2,1,16,0,-8,0
49,1,0,0,-2,1,-13,0,7,0
50,-1,0,2,2,1,-10,0,5,0
51,1,1,0,-2,0,-7,0,0,0
52,0,1,2,0,2,7,0,-3,0
53,0,-1,2,0,2,-7,0,3,0
54,1,0,2,2,2,-8,0,3,0
55,1,0,0,2,0,6,0,0,0
56,2,0,2,-2,2,6,0,-3,0
57,0,0,0,2,1,-6,0,3,0
58,0,0,2,2,1,-7,0,3,0
59,1,0,2,-2,1,6,0,-3,0
60,0,0,0,-2,1,-5,0,3,0
61,1,-1,0,0,0,5,0,0,0
62,2,0,2,0,1,-5,0,3,0
63,0,1,0,-2,0,-4,0,0,0
64,1,0,-2,0,0,4,0,0,0
65,0,0,0,1,0,-4,0,0,0
66,1,1,0,0,0,-3,0,0,0
67,1,0,2,0,0,3,0,0,0
68,1,-1,2,0,2,-3,0,1,0
69,-1,-1,2,2,2,-3,0,1,0
70,-2,0,0,0,1,-2,0,1,0
71,3,0,2,0,2,-3,0,1,0
72,0,-1,2,2,2,-3,0,1,0
73,1,1,2,0,2,2,0,-1,0
74,-1,0,2,-2,1,-2,0,1,0
75,2,0,0,0,1,2,0,-1,0
76,1,0,0,0,2,-2,0,1,0
77,3,0,0,0,0,2,0,0,0
78,0,0,2,1,2,2,0,-1,0
79,-1,0,0,0,2,1,0,-1,0
80,1,0,0,-4,0,-1,0,0,0
81,-2,0,2,2,2,1,0,-1,0
82,-1,0,2,4,2,-2,0,1,0
83,2,0,0,-4,0,-1,0,0,0
84,1,1,2,-2,2,1,0,-1,0
85,1,0,2,2,1,-1,0,1,0
86,-2,0,2,4,2,-1,0,1,0
87,-1,0,4,0,2,1,0,0,0
88,1,-1,0,-2,0,1,0,0,0
89,2,0,2,-2,1,1,0,-1,0
90,2,0,2,2,2,-1,0,0,0
91,1,0,0,2,1,-1,0,0,0
92,0,0,4,-2,2,1,0,0,0
93,3,0,2,-2,2,1,0,0,0
94,1,0,2,-2,0,-1,0,0,0
95,0,1,2,0,1,1,0,0,0
96,-1,-1,0,2,1,1,0,0,0
97,0,0,-2,0,1,-1,0,0,0
98,0,0,2,-1,2,-1,0,0,0
99,0,1,0,2,0,-1,0,0,0
100,1,0,-2,-2,0,-1,0,0,0
101,0,-1,2,0,1,-1,0,0,0
102,1,1,0,-2,1,-1,0,0,0
103,1,0,-2,2,0,-1,0,0,0
104,2,0,0,2,0,1,0,0,0
105,0,0,2,4,2,-1,0,0,0
106,0,1,0,1,0,1,0,0,0
